	English	Japanese (日本語)	Vietnam	Portuguese	Russian	Spanish	French	German	Turkish	Korean	Chinese Simplified	Chinese Traditional
12008	A random song of yours will be used for the challenge	A random song of yours will be used for the challenge	Một bài hát ngẫu nhiên sẽ được chọn cho trận đấu	Uma música aleatória da sua biblioteca será usada para o desafio.	Для этого испытания будет использована ваша случайная песня	Una canción aleatoria tuya será usada para el desafío	Une chanson aléatoire sera utilisée pour le défi	Ein zufälliger Song von dir wird für die Herausforderung verwendet	Istediğin herhangi bir şarkı meydan okumada kullanılacaktır.			
12009	Random song	Random song	Chọn ngẫu nhiên	Música aleatória	Случайная песня	Canción aleatoria	Chanson aléatoire	Zufälliger Song	Rastgele Şarkı			
12010	Get started	はじめましょう！	Bắt đầu nào	Iniciar	Начинаем	Empezar	Commencer	Starten	Başlat			
12011	Do you want to be alerted with new song update, discounts and challenges from us?	Do you want to be alerted with new song update, discounts and challenges from us?	Bạn có muốn nhận thông báo về bài hát mới, lượt giảm giá và thách đấu không?	Você quer avisado de uma atualização de música, descontos e desafios de nós?	Хотите узнавать о скидках, испытаниях и обновлениях?	¿Quieres ser alertado con nuevas actualizaciones de canciones, descuentos y retos de nosotros? 	Voulez-vous être avertis des promotions, nouvelles chansons et défis ?	Möchtest du über Neue Songs, Angebote und Herausforderungen informiert werden?	Yeni şarkı güncellemelerinden, indirimlerden ve meydan okumalardan haberdar olmak ister misiniz?			
12012	Notify me	Notify me	Thông báo cho tôi	Me notifique	Оповещать	Notificarme	Prévenez-moi	Informiere mich	Bana haber ver.			
12013	Cool! You have completed the challenge. Please wait for the result!	Cool! You have completed the challenge. Please wait for the result!	Quá dữ! Đấu xong rồi. Chờ kết quả nhé!	Legal! Você completou o desafio. Por favor, espere pelo resultado!	Круто! Вы прошли испытание. Дождитесь результата!	¡Guay! Has completado el desafío. ¡Espera el resultado!	Super ! Vous avez terminé le défi. Veuillez attendre le résultat !	Cool! Die Herausforderung ist beendet. Bitte warte auf das Ergebnis!	Meydan okumayı tamamladın! Lütfen sonuç için bekleyiniz.			
12014	Oops! You’ve given up. Let’s wait for the result from your friend	Oops! You’ve given up. Let’s wait for the result from your friend	Ôi! Bạn bỏ cuộc mất rồi. Chờ xem kết quả nhé	Oops! Você desistiu. Espere pelo resultado de seu amigo	Ой! Вы сдались. Давайте дождемся результата вашего друга	¡Vaya! Has renunciado. Vamos a esperar el resultado de tu amigo	Mince ! Vous avez abandonné. Veuillez-attendre le résultat de votre ami	Oops! Du hast aufgegeben. Lass uns auf das Ergebnis deines Freundes warten	Pes ettin! Arkadaşının sonucunu da bekleyin.			
12015	Congrats! You won {0} over the challenge. Here is the deposit and reward	Congrats! You won {0} over the challenge. Here is the deposit and reward	Chúc mừng! Bạn thắng {0} ruby. Nhận vốn và phần thưởng nè!	Parabéns! Você ganhou {0} do desafio. Aqui está o depósito e a recompensa.	Поздравляем! Вы выиграли {0} в испытании. Вот ваш залог и приз	Felicitaciones! Usted ganó {0} sobre el desafío. Aquí está el depósito y la recompensa	Bravo ! Vous avez gagné {0} Rubis. Voici vos Rubis mis en dépôt ainsi que le gain	Glückwunsch! Du hast gegen {0}  gewonnen. Hier ist dein Preis und deine Einzahlung	Tebrikler! Meydan okumadan {0} Elmas kazandınız! Ortaya koyduğunuz Elmasın yanında bu da sizin.			
12016	Congratulations!!! You got {0} Ruby from {1} and got back deposit	Congratulations!!! You got {0} Ruby from {1} and got back deposit	Yahoo!!! Bạn nhận {0} Ruby từ {1} và được hoàn vốn	Parabéns! Você recebeu {0} Ruby e recebeu de volta	Поздравляем!!! Вы выиграли рубины ({0}) у игрока {1} и вернули залог	¡¡¡Felicitaciones!!! Tienes {0} Ruby de {1} y se te devuelve el depósito	Bravo ! Vous avez gagné {0} Rubis de {1} et avez récupéré vos Rubis mis en dépôt	Glückwunsch! Du hast {0} Rubine von {1} erhalten und bekommst deinen Einsatz zurück	Tebrikler! {1}'i yendiniz ve ortaya koyduğunuz elmasın yanında {0} Elmas kazandınız!			
12017	Congrats! You won {0} over the challenge. The reward and deposit were added to your balance	Congrats! You won {0} over the challenge. The reward and deposit were added to your balance	Chúc mừng! Bạn được {0} từ trận đấu. Phần thưởng và vốn sẽ được tích lũy trong tài khoản của bạn	Parabéns! Você ganhou {0} do desafio. A recompensa e o depósito foram adicionados ao seu saldo	Поздравляем! Вы выиграли {0} в испытании. Приз и залог добавлены на ваш счет	Felicitaciones! Usted ganó {0} sobre el desafío. La recompensa y el depósito se agregaron a su saldo	Bravo ! Vous avez gagné {0} Rubis. Les Rubis mis en dépôt ainsi que le gain ont été ajoutés à votre solde	Glückwunsch! Du hast gegen {0}  gewonnen. Dein Preis und deine Einzahlung wurde dir gutgeschrieben	Tebrikler! {0} Elmas kazandınız! Ortaya koyduğunuz Elmas ile birlikte hesabınıza eklendi.			
12018	Oops! You lost the challenge to {0}. Wanna make a comeback?	Oops! You lost the challenge to {0}. Wanna make a comeback?	Thôi chết! Bạn thua mất {0} rồi. Muốn lấy lại phong độ không nào?	Oops! Você perdeu o desafio para {0}.  Quer fazer um retorno?	Ой! Вы проиграли в испытании игроку {0}. Хотите взять реванш?	¡Vaya! Has perdido el desafío a {0}. ¿Quieres regresar?	Mince ! Vous avez perdu le défi contre {0}. Voulez-vous faire une revanche ?	Oops! Du hast die Herausforderung gegen {0} verloren. Möchtest du es noch einmal probieren?	{0}'a meydan okumada kaybettin. Sonrakinde kesin kazanırsın!			
12019	Oops! You lost {0} Ruby to {1}	Oops! You lost {0} Ruby to {1}	Thôi rồi! Bạn đã mất {0} Ruby cho {1} rồi	Oops! Você perdeu {0} Ruby para {1}	Ой! Вы проиграли рубины ({0}), их получает {1}	¡Vaya! Has perdido {0} Rubí a {1}	Mince ! Vous avez perdu {0} Rubis à {1}	Oops! Du hast {0} Rubine gegen {1} verloren	{0} Elması, {1}'e kaybettin.			
12020	Your challenge with {0} ended with a draw. Come and revenge!	Your challenge with {0} ended with a draw. Come and revenge!	Trận đấu với {0} hòa mất rồi. Tái đấu nào!	Seu desafio com {0} terminou empatado. Volte e vingue!	Ваше испытание с {0} закончилось вничью. Хочу реванш!	Su desafío con {0} terminó con un empate. Vuelve y da tu venganza!	Votre défi contre {0} s'est terminé en match nul. Faites une revanche !	Deine Herausforderung gegen {0} wurde mit Gleichstand beendet. Fordere ihn erneut herraus!	{0} ile meydan okumanızda berabere kaldınız. Hadi intikamını alalım.			
12021	You have gained back {0} Ruby deposit because the challenge with {1} has been canceled or expired	You have gained back {0} Ruby deposit because the challenge with {1} has been canceled or expired	Bạn được hoàn trả {0} Ruby đặt cược vì trận đấu với {1} bị hủy hoặc quá hạn	Você recebeu de volta {0} Ruby, porque o desafio com {1} foi cancelado ou expirou.	Вам вернулись рубины в залоге ({0}), потому что испытание с {1} было отменено или не началось вовремя	Se te ha devuelto {0}  Rubí porque el desafío con {1} ha sido cancelado o expirado.	Vous avez récupéré les {0} Rubis mis en dépôt car le défi contre {1} est expiré	Du hast {0} Rubine zurück bekommen, da die Herausforderung gegen {1} abgebrochen wurde oder abgelaufen ist.	{0} Elmasınız geri ödendi, çünkü karşı taraf meydan okumaya yanıt vermedi.			
12022	{0} has sent you a challenge. Join in 24 hours or the challenge will be canceled	{0} has sent you a challenge. Join in 24 hours or the challenge will be canceled	{0} đã gửi thư thách đấu cho bạn. Chấp nhận trong vòng 24 giờ hoặc trận đấu sẽ bị hủy	{0} te enviou um desafio. Junte se em 24 horas ou o desafio será cancelado.	Игрок {0} бросил вам вызов. Ответьте в течение 24 ч., или вызов будет отменен	{0} te ha enviado un desafío. Únete en 24 horas o el desafío será cancelado	{0} vous a défié. Répondez en 24 heures ou le défi sera annulé	{0} hat dich herausgefordert. Betrete die Herausforderung innerhalb der nächsten 24 Stunden oder sie wird abgebrochen	{0} size meydan okuma gönderdi. 24 saatte kabul edin, etmezseniz meydan okuma iptal olur.			
12023	{0} has sent you a challenge. Join in 24 hours or the challenge will be cancelled	{0} has sent you a challenge. Join in 24 hours or the challenge will be cancelled	{0} đã gửi thư thách đấu cho bạn. Chấp nhận trong vòng 24 giờ hoặc trận đấu sẽ bị hủy	{0} te enviou um desafio. Junte se em 24 horas ou o desafio será cancelado.	Игрок {0} бросил вам вызов. Ответьте в течение 24 ч., или вызов будет отменен	{0} te ha enviado un desafío. Únete en 24 horas o el desafío será cancelado	{0} vous a défié. Répondez en 24 heures ou le défi sera annulé	{0} hat dich herausgefordert. Betrete die Herausforderung innerhalb der nächsten 24 Stunden oder sie wird abgebrochen	{0} size meydan okuma gönderdi. 24 Saat içinde kabul etmezseniz meydan okuma iptal olur.			
12024	You have successful invited {0}. Here is your reward! {1} Ruby	You have successful invited {0}. Here is your reward! {1} Ruby	Bạn đã mời {0} thành công. Phần thưởng {1} Ruby đây nè!	Você  convidou {0} com sucesso. Aqui está sua recompensa! {1} Ruby	Вы успешно пригласили {0}. А вот и ваш приз: {1} рубин.	Has invitado con éxito a {0}. ¡Aquí está su recompensa! {1} Rubís	Vous avez invité {0} avec succès. Voici votre récompense ! {1} Rubis	Sie haben erfolgreich {0} eingeladen. Hier ist ihre Belohnung! {1} Rubine	Başarılı bir şekilde {0}'ı davet ettin. Karşılığında {1} Elmas kazandın.			
12025	Yay! You have won the challenge with {0}. Come and claim the reward!	Yay! You have won the challenge with {0}. Come and claim the reward!	Yay! Bạn thắng trận đấu với {0} rồi. Đi nhận phần thưởng nào!	Yay! Você venceu o desafio com {0}. Volte e reivindique sua recompensa!	Ура! Вы выиграли испытание против {0}. Заберите свою награду!	¡Hurra! Has ganado el desafío con {0}. ¡Venga a reclamar la recompensa!	Yeah ! Vous avez gagné le défi contre {0}. Venez récupérer votre gain.	Yay! Du hast die Herausforderung gegen {0} gewonnen. Komm und hole deinen Preis ab!	Yaşasın! {0}'ı meydan okumada yendin! Hadi gel ve ödülünü al!			
12026	Oops! {0} has won you over the challenge. Wanna take a revenge?	Oops! {0} has won you over the challenge. Wanna take a revenge?	Tiêu rồi! {0} đã thắng bạn. Báo thù không nào?	Oops! {0} venceu o desafio. Quer se vingar?	Ой! Игрок {0} победил вас в испытании. Хотите взять реванш?	¡Vaya! {0} te ha ganado en el desafío. ¿Quieres vengarte?	Mince ! Vous avez perdu le défi contre {0}. Voulez-vous faire une revanche ?	Oops! {0} hat dich in einer Herausforderung besiegt. Möchtest du ihn erneut herausfordern?	{0} seni meydan okumada yendi. İntikam almak ister misin?			
